organisation_hk,organisation_id,organisation_date_sk,subscription_date_sk,report_date,total_monthly_active_user_count,paid_monthly_active_user_count,full_monthly_active_user_count,lite_monthly_active_user_count,free_monthly_active_user_count,inspections_paid_monthly_active_user_count,actions_paid_monthly_active_user_count,issues_paid_monthly_active_user_count,heads_up_paid_monthly_active_user_count,training_paid_monthly_active_user_count,assets_paid_monthly_active_user_count,two_product_paid_monthly_active_user_count,inspections_free_monthly_active_user_count,actions_free_monthly_active_user_count,issues_free_monthly_active_user_count,heads_up_free_monthly_active_user_count,training_free_monthly_active_user_count,assets_free_monthly_active_user_count,two_product_free_monthly_active_user_count,total_chargify_component_type_count,total_user_count,free_user_count,paid_user_count,full_user_count,lite_user_count,total_action_count,total_action_completed_count,total_issue_count,total_issue_resolved_count,total_heads_up_count,total_published_heads_up_count,total_heads_up_view_count,commenced_inspection_count,commenced_inspection_deleted_count,completed_inspection_count,completed_inspection_deleted_count,total_created_templates,total_created_templates_deleted,total_reports_interacted_count,total_reports_shared_count,total_reports_exported_count,total_analytics_event_count,total_active_analytics_event_count,total_passive_analytics_event_count,total_api_call_count,total_site_count,total_site_with_member_count,total_activated_hardware_sensor_count,total_activated_weather_sensor_count,total_deactivated_hardware_sensor_count,total_deactivated_weather_sensor_count,total_active_asset_count,total_archive_asset_count,total_seat_count,change_total_seat_count,total_paid_seat_count,total_full_seat_count,total_free_seat_count,total_lite_seat_count,total_action_only_seat_count,total_issue_or_action_only_seat_count,total_issue_only_seat_count,total_extra_devices_count,total_schedule_count,total_support_conversation_count,total_actionable_support_conversation_count
61295a4abf054ce870cbbd305a967663,b38dc3c0f537839d556089e25d49ee6f30ac398a55b6cc48bc3d11f6b4fa19d2,2d303906c60d958df88412a5a0232979,b3c745daf328930dba4852f6e136a6dd,2024-02-15,18,8,8,0,10,3,1,0,0,2,1,1,1,3,0,0,0,4,0,1,425,400,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,90,0,90,90,0,0,0,0,0,0,0,0,0
e3354f22c5e839e5469b682d71b4c9d6,6abefee5bdebfc634e33523c26a48d842490f8285255c3e03a6a849a46973824,fca1ca9ff87d671b0b0cad28e014b81d,628057ba4d1bade6ad1fcbb813b5bc97,2024-02-16,5,5,2,3,0,1,2,0,0,5,1,2,0,0,0,0,0,0,0,1,64,0,64,6,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,65,0,65,6,0,59,0,0,0,0,0,0,0
647bd3a2df37869de0129e54c19432c9,3e70e0b5e4fe531a46b64dbb0fd51b2590629f900730941ea4bb74be4ffccd71,471e813d43d00e7ee7a6714867f48c4a,d7ea5c8d82bb6bb0b130cc1164d24ba9,2024-02-19,54,48,48,0,6,45,22,11,33,0,38,42,3,1,1,3,0,1,3,1,80,23,57,57,0,0,1,1,0,0,0,0,43,0,42,0,0,0,8,0,1,0,0,0,0,0,0,0,12,0,5,161,15,101,0,101,101,0,0,0,0,0,0,0,0,0
d23f778954435b793d2119f19358f3b0,1c7b93fdd59bdadf7371ee9af953182343442b790f670436eb637eff7e6b1d96,61d99613afb47bdae9bc8befc1124f11,9088f67337bcfd71263d8a2307fa5146,2024-02-20,21,21,21,0,0,12,10,0,0,16,2,11,0,0,0,0,0,0,0,1,40,2,38,38,0,4,0,0,0,0,0,0,1,0,2,0,0,0,9,2,2,6,1,5,0,0,0,0,2,0,0,43,0,40,0,40,40,0,0,0,0,0,0,0,0,0
ab8120743e21b9fe5a1e9a17111b0a27,8cb71ae368665132f851d9e9cb13b35063536d7c0c634a5fd4cec53661f5a54d,89f0328fa65e38460b2ae4f58f3d1a63,b854e754c23af3f3659b4dd7ec3904ce,2024-02-17,67,66,65,1,1,53,18,5,66,4,49,56,0,0,0,1,0,0,0,1,72,2,70,68,2,0,0,0,0,8,8,17,12,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,3763,8,171,0,171,71,0,100,0,0,0,0,0,0,0
f9ece1b9eb37b9e90fe3517b2ff38494,c17c69b6463eda9470c87d60d663420acddf8620a7b10979f20dd86ca49366b9,f6b39416587d4a56454f7cc37ac43c1c,4bfdef8e2e5080d9bc4619c45941d7b8,2024-02-17,3,3,3,0,0,1,1,0,1,3,1,1,0,0,0,0,0,0,0,1,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,55,0,55,5,0,50,0,0,0,0,0,0,0
c8e64430e227995ae1822d5ef3a06abf,52f053d09403b7f90a43f8e4fd08a63197866bb5696d3dc933c16a849c7e5dcb,0140206005d70cc8c3c744d9cc1d5196,a0aaec4d87da4fd5432ef98d7b708922,2024-02-18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,2,0,0,0,0,0,0,0
42dfc5d17160e212ec1fc67c48a2c6a1,3244444433f80dab9bec0971e9142a4db7efcdf5a9252ea494cb9a74cff222c6,33da241d4418a8671bc370a804b3773f,620adec03064db2adab3bd102cdbac2d,2024-02-20,65,65,64,1,0,64,10,0,0,11,5,22,0,0,0,0,0,0,0,1,189,82,107,106,1,0,0,0,0,0,0,0,63,0,56,0,0,0,3,0,2,0,0,0,10771,0,0,0,0,0,0,2826,19,107,0,107,106,0,1,0,0,0,0,0,0,0
d23f778954435b793d2119f19358f3b0,1c7b93fdd59bdadf7371ee9af953182343442b790f670436eb637eff7e6b1d96,97c4feadf0a10b40ff5643a96d10cfea,d79862ae144211ace38d2232108265de,2024-02-14,20,20,20,0,0,13,6,0,0,12,3,10,0,0,0,0,0,0,0,1,40,2,38,38,0,2,0,0,0,0,0,0,8,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,43,0,40,0,40,40,0,0,0,0,0,0,0,0,0
c8e64430e227995ae1822d5ef3a06abf,52f053d09403b7f90a43f8e4fd08a63197866bb5696d3dc933c16a849c7e5dcb,8db5580d084d8675d3eaf45cc518747c,5c4830aefe501c470a19ea616c8defdb,2024-02-17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,2,0,0,0,0,0,0,0
8fd42070a6f0c521004ed492cd90b545,36fd231312d75ea9133fccb0da97c59598f97c5dacba99e3fa5bc7d1655d1feb,6ebfa9509891c6c364a3a9180feb1ec0,b7155e4c74f1a4fe83fd9cdb73a752d9,2024-02-19,30,28,24,4,2,21,7,6,0,11,5,13,0,0,0,0,2,0,0,1,99,57,45,37,8,12,0,1,0,0,0,0,31,0,21,0,3,0,1,0,6,1,0,1,1078,0,0,0,1,0,0,91,3,43,5,43,35,0,8,0,0,0,0,0,0,0
d23f778954435b793d2119f19358f3b0,1c7b93fdd59bdadf7371ee9af953182343442b790f670436eb637eff7e6b1d96,a7b8da6e2d42e79101d4eeaa3baa37e7,3739fb7759009a3f21b4cb72d9034e54,2024-02-19,22,22,22,0,0,13,10,0,0,16,2,11,0,0,0,0,0,0,0,1,40,2,38,38,0,0,0,0,0,0,0,0,5,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,43,0,40,0,40,40,0,0,0,0,0,0,0,0,0
f3450574dd41a074621d219a8df08970,84f556f9e1d4a18f166cb1b0f7601deaeef8f6afc0cea84c95c9e37776d7b33d,34dee2c04a226c8e373523c05a296fa0,2dd26ad8ec94b43814632206f614a37b,2024-02-14,5,5,5,0,0,4,4,0,0,0,0,3,0,0,0,0,0,0,0,1,7,2,5,5,0,5,5,0,0,0,0,0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,3,4,0,2,0,5,0,5,5,0,0,0,0,0,0,0,0,0
f7b4faecd93c9929d650b549b652dc63,44ff828b0cb90d4966c8fa35e85f7374b0adb9b33d612d1fa3dde192db9d547f,bda6534782a08b892bdcf56e0fc4229e,aaf1e10100429f62a676093ea6d0a884,2024-02-18,72,72,12,60,0,23,16,5,35,71,3,44,0,0,0,0,0,0,0,1,82,0,82,12,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,84,0,84,12,0,72,0,0,0,0,0,0,0
61295a4abf054ce870cbbd305a967663,b38dc3c0f537839d556089e25d49ee6f30ac398a55b6cc48bc3d11f6b4fa19d2,eea9640af6ba3fb9a82158c0bf8b7229,c26068990dffcf2641a376ca3ff3d003,2024-02-19,10,6,6,0,4,2,0,0,0,1,1,1,1,1,0,0,0,2,0,1,425,400,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,90,0,90,90,0,0,0,0,0,0,0,0,0
42dfc5d17160e212ec1fc67c48a2c6a1,3244444433f80dab9bec0971e9142a4db7efcdf5a9252ea494cb9a74cff222c6,cfe5c8a50c77fcb6e184b1193e9ca5a5,d55f6ab8cbcaf9ceae72926c4fce4b32,2024-02-16,59,59,58,1,0,57,9,0,0,11,4,21,0,0,0,0,0,0,0,1,189,82,107,106,1,3,0,0,0,0,0,0,56,0,53,0,0,0,5,0,1,0,0,0,10359,0,0,0,0,0,0,2772,19,107,0,107,106,0,1,0,0,0,0,0,0,0
db794a55e1c87a9e5c46020b363e5eb8,b22383814172123bf7b9f16388bfac8c86c74a99caa8b4ad253a0b7ffe26ae26,8a5fd4607042c0d19b4e561c374de6f8,a29782ec6e6e24207738e88ebae634ca,2024-02-18,7,7,6,1,0,7,2,0,0,0,1,2,0,0,0,0,0,0,0,1,9,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,10,8,0,8,7,0,1,0,0,0,0,0,0,0
087bd5a44249fe204ec3d9cea7a69f90,4eaadab07e3cd16f918a32ae2acf8fe8da720dc032dd7510759a0c035f45a496,73b493249bfa9527bac5e7429dd55bdc,e6a754abf64f677e5c83340801c4a64c,2024-02-19,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
e57e52d82d1c6a65b1f21f06ed7e2c9d,49a7b01a269bf2ed819b88935e92b61b16f6f6cf0b2a9cb6c77e8b5b7eea1ae6,4698014044be8b0bde703f28e5d4c143,e9a48028358435f199f7f471f14f2e7c,2024-02-19,7,7,7,0,0,7,2,1,3,3,7,7,0,0,0,0,0,0,0,1,9,0,9,9,0,2,0,1,0,0,0,0,7,2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,18,0,30,0,30,30,0,0,0,0,0,0,0,0,0
f7b0b5a94ab84b5d7d450d39c239bfc4,c0bccd9a125be8564e0f0dbf419a594bfc523a73bc710fa2fb0d2f715f4c4c80,447c69796b1f43e754970ed5eb0f7d3f,370b64c7c1aac9c6ae2e492e5513b356,2024-02-20,13,13,13,0,0,10,9,4,8,2,4,9,0,0,0,0,0,0,0,1,15,0,15,15,0,7,0,3,19,2,0,0,22,11,6,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,26,0,15,0,15,15,0,0,0,0,0,0,0,0,0
4165820bb9278f602cf182c33e45597c,1096e863ca344ad23d896ce35ec2b742d5ff2cf6965d472ed960d77d08da9351,e5f2640a5a13511ccdb45a0395509d46,9098818d9e3467a84daccea35f113d06,2024-02-20,44,43,43,0,1,38,36,6,31,0,40,42,0,0,0,0,0,1,0,1,51,5,46,46,0,9,10,0,0,0,0,0,78,0,66,0,0,0,10,0,3,0,0,0,0,0,0,0,6,0,0,1370,21,48,0,48,48,0,0,0,0,0,0,0,0,0
647bd3a2df37869de0129e54c19432c9,3e70e0b5e4fe531a46b64dbb0fd51b2590629f900730941ea4bb74be4ffccd71,250aada21072e62385ada958a48ee2eb,28944abfa0dcb88cae33e4f2897851bb,2024-02-20,55,50,50,0,6,47,23,12,34,0,39,44,3,1,1,3,0,1,3,1,80,23,58,58,0,0,1,2,1,0,0,0,30,0,27,0,0,0,4,0,4,12,1,11,0,0,0,0,12,0,5,161,15,101,0,101,101,0,0,0,0,0,0,0,0,0
db794a55e1c87a9e5c46020b363e5eb8,b22383814172123bf7b9f16388bfac8c86c74a99caa8b4ad253a0b7ffe26ae26,36745f7003abb7f9443ca35ea804604a,57f7f048cc6da8ba3b5b433c3bd2be21,2024-02-14,7,7,6,1,0,7,2,0,0,0,1,2,0,0,0,0,0,0,0,1,9,1,8,7,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,81,10,8,0,8,7,0,1,0,0,0,0,0,0,0
db794a55e1c87a9e5c46020b363e5eb8,b22383814172123bf7b9f16388bfac8c86c74a99caa8b4ad253a0b7ffe26ae26,c45a1547e7cd52ac85524962304394d6,6fee1ae81cc806c17be700df794edc10,2024-02-16,7,7,6,1,0,7,2,0,0,0,1,2,0,0,0,0,0,0,0,1,9,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,10,8,0,8,7,0,1,0,0,0,0,0,0,0
d23f778954435b793d2119f19358f3b0,1c7b93fdd59bdadf7371ee9af953182343442b790f670436eb637eff7e6b1d96,30f97fcef17111572233b435f2a994bb,2ef4d9ff3d5300675427594d481ba421,2024-02-16,22,22,22,0,0,13,10,0,0,16,2,11,0,0,0,0,0,0,0,1,40,2,38,38,0,3,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,9,3,6,0,0,0,0,2,0,0,43,0,40,0,40,40,0,0,0,0,0,0,0,0,0
647bd3a2df37869de0129e54c19432c9,3e70e0b5e4fe531a46b64dbb0fd51b2590629f900730941ea4bb74be4ffccd71,95b4f3878472d64be03df6d18f839406,3506afd231419c964fc700e1d9c4caf3,2024-02-17,56,50,50,0,7,45,21,9,33,0,38,41,3,1,1,4,0,1,3,1,75,23,53,53,0,2,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,158,18,101,0,101,101,0,0,0,0,0,0,0,0,0
e57e52d82d1c6a65b1f21f06ed7e2c9d,49a7b01a269bf2ed819b88935e92b61b16f6f6cf0b2a9cb6c77e8b5b7eea1ae6,b835aa7798071a7899240d4951552fc1,ba19b9b859efcd83b661e62d14ebf2e7,2024-02-20,9,8,8,0,1,7,2,1,5,5,7,8,1,0,0,0,0,0,0,1,13,3,10,10,0,0,2,0,1,2,2,6,11,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,30,0,30,30,0,0,0,0,0,0,0,0,0
886294830157050ed3bd472195de3563,21702b899af8a40fe8252d35c86429c4d4d70a2e71ae8c41793352483e146c07,936ebc7eb24dfab2252d186d2b22093d,b0dde1d2c0f4afed84d0ae298538fad2,2024-02-16,36,30,23,7,6,14,10,9,30,5,13,20,0,0,0,6,0,0,0,1,51,15,36,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,1,2,1,1,273,0,41,0,41,31,0,10,0,0,0,0,0,0,0
886294830157050ed3bd472195de3563,21702b899af8a40fe8252d35c86429c4d4d70a2e71ae8c41793352483e146c07,45486f5c88bf81bef7997925ed692724,878c1fa793ddee6062bf05cd633b4ac5,2024-02-17,36,31,24,7,5,14,10,9,31,5,13,20,0,0,0,5,0,0,0,1,51,15,37,28,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,1,2,1,1,273,0,41,0,41,31,0,10,0,0,0,0,0,0,0
1ec7941340ab6766f16a8db7fa7143e4,226a10838b71d401c97892d680aadddcef20579c29c0050d8f0aac283b4ec9c8,b9ba703338ed3ca0f72f92cd2347bfe4,a51d7dc3c74ab7f168cd98574e241f04,2024-02-18,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,2,0,0,0,0,0,0,0,0
f3450574dd41a074621d219a8df08970,84f556f9e1d4a18f166cb1b0f7601deaeef8f6afc0cea84c95c9e37776d7b33d,219cb7fde71b2ee116928af7e2db141d,60d4403f28052d00e6fc714d3240762f,2024-02-19,6,5,5,0,1,5,4,1,0,0,1,4,0,0,1,0,0,0,0,1,8,3,5,5,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,5,0,5,5,0,0,0,0,0,0,0,0,0
2f12f842b7bfda32fc16826a6d6994e1,ca250de8ec6b7c3792dabb262f5a59ca5748fcdfdd612f9ab4e87b2b2829d71b,182ad8c1d346296930d41947de09bcf2,29271470d379fc9aca2ad3747a17ccf0,2024-02-15,26,26,18,8,0,8,10,9,19,21,2,18,0,0,0,0,0,0,0,1,29,1,28,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,9,0,0,0,4,1,0,0,106,4,30,0,30,20,0,10,0,0,0,0,0,0,0
e57e52d82d1c6a65b1f21f06ed7e2c9d,49a7b01a269bf2ed819b88935e92b61b16f6f6cf0b2a9cb6c77e8b5b7eea1ae6,8e80c9630d63a50827af87a1d55659f6,7a73d54d34cfdcabb9a1d0136e077dbc,2024-02-15,4,4,4,0,0,3,0,0,3,2,4,4,0,0,0,0,0,0,0,1,9,0,9,9,0,0,0,0,0,0,0,0,6,2,2,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,18,0,30,0,30,30,0,0,0,0,0,0,0,0,0
4165820bb9278f602cf182c33e45597c,1096e863ca344ad23d896ce35ec2b742d5ff2cf6965d472ed960d77d08da9351,b3e8bee904161d95cf70e89fdc2879d4,618091ea70107e4951e4f43dd105f5ff,2024-02-17,44,43,43,0,1,38,36,7,31,0,41,42,0,0,0,0,0,1,0,1,51,5,46,46,0,3,3,0,3,0,0,0,55,0,54,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,1370,21,48,0,48,48,0,0,0,0,0,0,0,0,0
f9ece1b9eb37b9e90fe3517b2ff38494,c17c69b6463eda9470c87d60d663420acddf8620a7b10979f20dd86ca49366b9,5c1faacc76e19b899e902911721df914,bc201ebbb7b965468cb073d7c7d4be88,2024-02-18,3,3,3,0,0,1,1,0,1,3,1,1,0,0,0,0,0,0,0,1,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,55,0,55,5,0,50,0,0,0,0,0,0,0
f7b0b5a94ab84b5d7d450d39c239bfc4,c0bccd9a125be8564e0f0dbf419a594bfc523a73bc710fa2fb0d2f715f4c4c80,993b05c397ff3e58c9fbe58e0b2b75a4,2bfc713d19fe99d724846856ab96a001,2024-02-15,13,13,13,0,0,10,9,4,7,2,4,9,0,0,0,0,0,0,0,1,15,0,15,15,0,8,6,2,1,0,0,0,13,2,3,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,26,0,15,0,15,15,0,0,0,0,0,0,0,0,0
7124cffc66b3a209d50393ef0b6376ab,2e4fadfe6f3bc78efb1a4a2cd54cb1df31a805fcffd6bdce3add3fafcbda4834,4de4231939a57458a46b5afd563f662d,5d02f124b27e813e6734436db64951f1,2024-02-19,2,2,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,1,0,0
8fd42070a6f0c521004ed492cd90b545,36fd231312d75ea9133fccb0da97c59598f97c5dacba99e3fa5bc7d1655d1feb,8376037aaa1a32ab75343ddedbc92421,8f5cc27351cf06df390cf913296218b6,2024-02-16,26,24,22,2,2,19,7,6,0,8,5,12,0,0,0,0,2,0,0,1,93,57,36,33,3,3,0,0,2,0,0,0,20,0,13,0,0,0,9,0,8,0,0,0,991,1,0,0,1,0,0,91,3,38,0,38,33,0,5,0,0,0,0,0,0,0
7124cffc66b3a209d50393ef0b6376ab,2e4fadfe6f3bc78efb1a4a2cd54cb1df31a805fcffd6bdce3add3fafcbda4834,f808aba1b6f965075fcfc06908ab7bcf,a6b1b9d5ef28590e9c2a9d8cc62f96d7,2024-02-17,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0
e3354f22c5e839e5469b682d71b4c9d6,6abefee5bdebfc634e33523c26a48d842490f8285255c3e03a6a849a46973824,590ca6e3a39d2a8c9842f0765271cffc,658dd893f6e3d016eb788c1c6fd1e04e,2024-02-18,5,5,3,3,0,1,2,0,0,5,1,2,0,0,0,0,0,0,0,1,64,0,64,7,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,65,0,65,6,0,59,0,0,0,0,0,0,0
f7b0b5a94ab84b5d7d450d39c239bfc4,c0bccd9a125be8564e0f0dbf419a594bfc523a73bc710fa2fb0d2f715f4c4c80,e56e291d8997d1c2f4e1ae3213b0ed4c,7c968e04dfeddffcae43b05d9973feac,2024-02-19,13,13,13,0,0,10,9,4,8,2,4,9,0,0,0,0,0,0,0,1,15,0,15,15,0,6,6,2,4,1,1,3,13,1,12,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,15,0,15,15,0,0,0,0,0,0,0,0,0
1ec7941340ab6766f16a8db7fa7143e4,226a10838b71d401c97892d680aadddcef20579c29c0050d8f0aac283b4ec9c8,d463c37132b4e1f7a2883e8275b8176b,79265756b07c47abf2804aca79d33641,2024-02-19,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,2,0,0,0,0,0,0,0,0
f9ece1b9eb37b9e90fe3517b2ff38494,c17c69b6463eda9470c87d60d663420acddf8620a7b10979f20dd86ca49366b9,f3c27b5eaf7fc5327c32f733da367dca,6b6bf4236b42195c21d53e3c0e3602a9,2024-02-20,4,4,3,1,0,1,1,0,1,4,1,1,0,0,0,0,0,0,0,1,5,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,55,0,55,5,0,50,0,0,0,0,0,0,0
e3354f22c5e839e5469b682d71b4c9d6,6abefee5bdebfc634e33523c26a48d842490f8285255c3e03a6a849a46973824,3c24ac0f983d1ac852267c75fde9aefc,f039b2575275806448ac8f7477d80b0f,2024-02-20,4,4,2,2,0,1,2,0,0,4,1,2,0,0,0,0,0,0,0,1,65,0,65,6,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,65,0,65,6,0,59,0,0,0,0,0,0,0
d23f778954435b793d2119f19358f3b0,1c7b93fdd59bdadf7371ee9af953182343442b790f670436eb637eff7e6b1d96,67ac4376dca90d2c4176a3207bfc06a0,51c3e89952aa3fd0794d2eac8d9085fb,2024-02-15,20,20,20,0,0,13,9,0,0,14,2,11,0,0,0,0,0,0,0,1,40,2,38,38,0,2,6,0,0,0,0,0,1,0,5,0,0,0,7,0,2,0,0,0,0,0,0,0,2,0,0,43,0,40,0,40,40,0,0,0,0,0,0,0,0,0
e3354f22c5e839e5469b682d71b4c9d6,6abefee5bdebfc634e33523c26a48d842490f8285255c3e03a6a849a46973824,a14348e5fe8abb8a7e30b0db14befaa2,4b8d9af7ab5204c9edfc7168cff624bb,2024-02-15,5,5,2,3,0,1,2,0,0,5,1,2,0,0,0,0,0,0,0,1,64,0,64,6,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,65,0,65,6,0,59,0,0,0,0,0,0,0
ab8120743e21b9fe5a1e9a17111b0a27,8cb71ae368665132f851d9e9cb13b35063536d7c0c634a5fd4cec53661f5a54d,56b49fd76d08f87845ae908e38b2a6de,87bdc02a3aa27c6c258f8345aef83991,2024-02-16,67,66,65,1,1,53,18,5,66,4,49,56,0,0,0,1,0,0,0,1,72,2,70,68,2,0,0,0,0,14,10,59,30,0,26,0,4,0,0,0,0,0,0,0,3,4,0,0,2,0,0,3763,8,171,0,171,71,0,100,0,0,0,0,0,0,0
087bd5a44249fe204ec3d9cea7a69f90,4eaadab07e3cd16f918a32ae2acf8fe8da720dc032dd7510759a0c035f45a496,c401dc6fbb47205f9a76b970f9a83d5d,6eaa95117bf186cf60172f73b64e851c,2024-02-17,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
087bd5a44249fe204ec3d9cea7a69f90,4eaadab07e3cd16f918a32ae2acf8fe8da720dc032dd7510759a0c035f45a496,3ad40b664b478d3434e08439481ef6a2,fb5d8dcaa332df2ec2e5698dc3b4a6db,2024-02-20,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
61295a4abf054ce870cbbd305a967663,b38dc3c0f537839d556089e25d49ee6f30ac398a55b6cc48bc3d11f6b4fa19d2,dbd6b85d46dc21e26ed50dbe7c8442db,97bf9fffa79aac948665afe9508a197d,2024-02-20,9,5,5,0,4,2,0,0,0,1,1,1,1,1,0,0,0,2,0,1,425,400,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,90,0,90,90,0,0,0,0,0,0,0,0,0
f3450574dd41a074621d219a8df08970,84f556f9e1d4a18f166cb1b0f7601deaeef8f6afc0cea84c95c9e37776d7b33d,7709d553aa40d3a0c055ec7b7994eae6,5299cf30414a6ac6fbb8cd4465e9585b,2024-02-20,6,5,5,0,1,5,4,1,0,0,2,4,0,1,1,0,0,0,1,1,8,3,5,5,0,4,4,6,3,0,0,0,16,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,5,0,5,5,0,0,0,0,0,0,0,0,0
